Product Name,Product URL,Product Price,Product Rating,Product Reviews
"Men's ZIGZAG-01 Sport Running,Walking,Gym Shoes with Cushioning Material,Extra Jump Lightweight Shoes TPR Outsole with Memory Foam Insole Casual Shoes for Men's & Boy's",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMzUyMTI0MDk5NDE2ODY0OjE2ODUwODA4NTY6c3BfYXRmOjIwMTQ2NjA2ODU0OTk4OjowOjo&url=%2FASIAN-ZIGZAG-01-Cushioning-Material-Lightweight%2Fdp%2FB0C172GWWW%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dmen%2Bsports%2Bshoes%26qid%3D1685080856%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"₹1,149",4.1 out of 5 stars,8
Athleo ATG-402 Men's Mesh Running/Gym/Walking/Sports Shoes,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMzUyMTI0MDk5NDE2ODY0OjE2ODUwODA4NTY6c3BfYXRmOjIwMTYxMTgxMTE5Njk4OjowOjo&url=%2FACTION-ATG-402-Grey-Orange-Running-Walking%2Fdp%2FB09DCZHFRB%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dmen%2Bsports%2Bshoes%26qid%3D1685080856%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"₹1,499",3.5 out of 5 stars,6
Mens Fanatic Running Shoe,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMzUyMTI0MDk5NDE2ODY0OjE2ODUwODA4NTY6c3BfYXRmOjIwMTUyMzE2MDAzMzk4OjowOjo&url=%2FAmazon-Brand-Symactive-Sports-AW21-SYM-10%2Fdp%2FB09CTHCYQT%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dmen%2Bsports%2Bshoes%26qid%3D1685080856%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"₹591
37",3.8 out of 5 stars,582
"Men's SHOCKER-01 Sports Running,Walking,Gym Shoes with Lightweight Phylon Sole with Memory Foam Casual Sneaker Shoes for Men's & Boy's",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMzUyMTI0MDk5NDE2ODY0OjE2ODUwODA4NTY6c3BfYXRmOjIwMTQ2NjA2ODU1MDk4OjowOjo&url=%2FASIAN-SHOCKER-01-Running-Walking-Lightweight%2Fdp%2FB0C27NS4LF%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dmen%2Bsports%2Bshoes%26qid%3D1685080856%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"₹1,399",5.0 out of 5 stars,4
Men's Wonder-13 Sports Running Shoes,https://www.amazon.in/ASIAN-Wonder-1313-Training-Running-Canvas/dp/B07C948QKB/ref=sr_1_5?keywords=men+sports+shoes&qid=1685080856&sr=8-5,₹514,4.0 out of 5 stars,"89,433"
Men's Sports Running Shoes Indus-251,https://www.amazon.in/Lancer-White-Sports-Running-Indus-251/dp/B081LG5BRT/ref=sr_1_6?keywords=men+sports+shoes&qid=1685080856&sr=8-6,₹631,3.7 out of 5 stars,"3,779"
Mens Sx0614g Running Shoe,https://www.amazon.in/Sparx-Orange-Running-Shoes-9-SX0614G_NBNO0009/dp/B0823ZXTYT/ref=sr_1_7?keywords=men+sports+shoes&qid=1685080856&sr=8-7,₹999,3.9 out of 5 stars,"4,645"
Mens Energy Runner Lp Running Shoe,https://www.amazon.in/Reebok-Mens-Energy-Runner-Running/dp/B08FZTHYQX/ref=sr_1_8?keywords=men+sports+shoes&qid=1685080856&sr=8-8,"₹1,098",4.0 out of 5 stars,"3,441"
Men's Waterproof-13 Synthetic Sports Running Shoes,https://www.amazon.in/ASIAN-Waterproof-13-Orange-Synthetic-Running/dp/B09P7D8B9V/ref=sr_1_9?keywords=men+sports+shoes&qid=1685080856&sr=8-9,₹599,3.6 out of 5 stars,897
Mens Elate M Running Shoe,https://www.amazon.in/Adidas-Elate-Running-EW2449_CBLACK-FTWWHT_/dp/B08FZVZY1K/ref=sr_1_10?keywords=men+sports+shoes&qid=1685080856&sr=8-10,"₹1,499",4.0 out of 5 stars,"4,076"
